age,revenu_mensuel,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,frequence_deplacement,annees_depuis_la_derniere_promotion,annees_sous_responsable_actuel,satisfaction_employee_environnement,note_evaluation_precedente,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,revenu_par_annee_exp,satisfaction_moyenne,hs_et_bas_salaire,ratio_anciennete_promotion,ratio_poste_entreprise,exp_par_age,statut_marital_Divorcé(e),statut_marital_Marié(e),departement_Consulting,departement_Ressources Humaines,poste_Autre,poste_Cadre Commercial,poste_Consultant,poste_Représentant Commercial,domaine_etude_Infra & Cloud,domaine_etude_Marketing,domaine_etude_Transformation Digitale
41,5993,8,8,6,4,0,0,1,2,1,0,5,2,3,4,1,1,3,1,11.0,665.8888888888889,2.0,0,6.0,0.5714285714285714,0.34782608695652173,0,0,0,0,0,1,0,0,1,0,0
49,5130,1,10,10,7,1,3,8,1,2,1,7,3,2,2,4,3,4,0,23.0,466.3636363636364,3.0,0,5.0,0.6363636363636364,0.03225806451612903,0,1,1,0,0,0,0,0,1,0,0
37,2090,6,7,0,0,0,3,2,2,1,0,0,4,2,3,2,3,3,1,15.0,261.25,3.0,1,0.0,0.0,0.3157894736842105,0,0,1,0,0,0,1,0,0,0,0
33,2909,1,8,8,7,0,3,3,4,2,3,0,4,3,3,3,3,3,1,11.0,323.22222222222223,3.25,1,2.0,0.7777777777777778,0.06666666666666667,0,1,1,0,0,0,0,0,1,0,0
27,3468,9,6,2,2,1,3,2,1,1,2,2,1,3,2,4,3,3,0,12.0,495.42857142857144,2.5,0,0.6666666666666666,0.6666666666666666,1.0,0,1,1,0,0,0,1,0,0,0,1
32,3068,0,8,7,7,0,2,2,2,2,3,6,4,3,4,3,2,3,0,13.0,340.8888888888889,3.25,0,1.75,0.875,0.0,0,0,1,0,0,0,1,0,1,0,0
59,2670,4,12,1,0,3,3,3,3,1,0,0,3,4,1,1,2,4,1,20.0,205.3846153846154,1.75,1,1.0,0.0,0.0975609756097561,0,1,1,0,0,0,1,0,0,0,1
30,2693,1,1,1,0,1,2,24,1,1,0,0,4,3,3,2,3,4,0,22.0,1346.5,3.0,0,1.0,0.0,0.08333333333333333,1,0,1,0,0,0,1,0,1,0,0
38,9526,0,10,9,7,0,2,23,3,2,1,8,4,2,3,2,3,4,0,21.0,866.0,3.0,0,4.5,0.7,0.0,0,0,1,0,1,0,0,0,1,0,0
36,5237,6,17,7,7,2,3,27,3,1,7,7,3,3,3,2,2,3,0,13.0,290.94444444444446,2.5,0,0.875,0.875,0.3333333333333333,0,1,1,0,1,0,0,0,0,0,1
35,2426,0,6,5,4,1,5,16,3,1,0,3,1,4,2,3,3,3,0,13.0,346.57142857142856,2.25,0,5.0,0.6666666666666666,0.0,0,1,1,0,0,0,1,0,0,0,1
29,4193,0,10,9,5,0,3,15,2,1,0,8,4,2,3,4,3,3,1,12.0,381.1818181818182,3.5,1,9.0,0.5,0.0,0,0,1,0,0,0,1,0,1,0,0
31,2911,1,5,5,2,1,1,26,1,1,4,3,1,3,3,4,2,3,0,17.0,485.1666666666667,2.5,0,1.0,0.3333333333333333,0.07692307692307693,1,0,1,0,0,0,0,0,1,0,0
34,2661,0,3,2,2,1,2,19,2,1,1,2,2,3,4,3,3,3,0,11.0,665.25,3.0,0,1.0,0.6666666666666666,0.0,1,0,1,0,0,0,1,0,0,0,1
28,2028,5,6,4,2,0,4,24,3,1,0,3,3,2,3,2,3,3,1,14.0,289.7142857142857,2.75,1,4.0,0.4,0.5,0,0,1,0,0,0,1,0,1,0,0
29,9980,1,10,10,9,1,1,21,4,1,8,8,2,4,1,3,3,3,0,11.0,907.2727272727273,2.25,0,1.1111111111111112,0.8181818181818182,0.09090909090909091,1,0,1,0,1,0,0,0,1,0,0
32,3298,0,7,6,2,2,5,5,2,1,0,5,1,4,2,4,2,3,1,12.0,412.25,2.25,1,6.0,0.2857142857142857,0.0,1,0,1,0,0,0,0,0,1,0,0
22,2935,1,1,1,0,2,2,16,2,0,0,0,4,4,4,2,2,3,1,13.0,1467.5,3.0,1,1.0,0.0,0.25,1,0,1,0,0,0,1,0,0,0,1
53,15427,2,31,25,8,0,3,2,4,1,3,7,1,2,4,3,3,3,0,16.0,482.09375,2.75,0,6.25,0.3076923076923077,0.05714285714285714,0,1,0,0,1,0,0,0,1,0,0
38,3944,5,6,3,2,0,3,2,3,1,1,2,4,3,4,3,3,3,1,11.0,563.4285714285714,3.5,1,1.5,0.5,0.25,0,0,1,0,0,0,0,0,1,0,0
24,4011,0,5,4,2,1,5,11,2,0,1,3,1,4,3,4,2,3,0,18.0,668.5,2.5,0,2.0,0.4,0.0,1,0,1,0,1,0,0,0,0,0,0
36,3407,7,10,5,3,0,4,9,4,1,0,3,3,2,1,2,3,4,0,23.0,309.72727272727275,2.25,0,5.0,0.5,0.3888888888888889,0,0,0,0,0,0,0,1,1,0,0
34,11994,0,13,12,6,0,4,7,4,1,2,11,1,3,2,3,3,3,0,11.0,856.7142857142857,2.25,0,4.0,0.46153846153846156,0.0,0,0,1,0,1,0,0,0,1,0,0
21,1232,1,0,0,0,0,6,15,2,1,0,0,3,3,4,4,3,3,0,14.0,1232.0,3.5,0,0.0,0.0,0.3333333333333333,0,0,1,0,0,0,0,0,1,0,0
34,2960,2,8,4,2,0,2,6,1,1,1,3,2,3,1,3,3,3,0,11.0,328.8888888888889,2.25,0,2.0,0.4,0.125,0,0,1,0,0,0,0,0,0,0,1
53,19094,4,26,14,13,1,3,5,3,1,4,8,3,3,3,4,2,3,0,11.0,707.1851851851852,3.0,0,2.8,0.8666666666666667,0.11428571428571428,1,0,1,0,1,0,0,0,0,0,0
32,3919,1,10,10,2,0,5,16,1,2,6,7,2,1,1,2,3,4,1,22.0,356.27272727272725,2.0,1,1.4285714285714286,0.18181818181818182,0.07142857142857142,0,0,1,0,0,0,0,0,1,0,0
42,6825,0,10,9,7,1,2,8,4,1,4,2,3,3,2,4,3,3,0,11.0,620.4545454545455,3.0,0,1.8,0.7,0.0,0,1,0,0,0,1,0,0,0,1,0
44,10248,3,24,22,6,1,4,7,4,1,5,17,1,2,4,4,3,3,0,14.0,409.92,3.0,0,3.6666666666666665,0.2608695652173913,0.11538461538461539,0,1,1,0,1,0,0,0,0,0,1
